TCP,EEBO,VID,STC,Status,Author,Date,Title,Terms,Page Count,Place,,,
A01351,99854901,20357,STC 11472; ESTC S119694,Free,"Fulwell, Ulpian, fl. 1586.",1579,"The first parte, of the eyghth liberall science: entituled, Ars adulandi, the arte of flatterie with the confutation therof, both very pleasaunt and profitable, deuised and compiled, by Vlpian Fulwell.",Toadyism -- Early works to 1800.; Courts and courtiers -- Early works to 1800.,74, London,,,
A01353,99841389,5970,STC 11474; ESTC S105663,Free,"Fulwell, Ulpian, fl. 1586.",1587,"A pleasant enterlude, intituled, Like will to like quoth the Deuill to the collier Wherin is declared what punishments followe those that will rather liue licentiously: then esteeme and followe good councell. And what benefits they receiue that apply them selues to vertuous liuing and good exercises. Made by Vlpian Fulwel. Fiue may easily play this enterlude. ...; Like will to like",,44,London,,,
A01354,99838523,2905,STC 11475; ESTC S102758,Free,"Fulwell, Ulpian, fl. 1586.; Harman, Edmund.",1575,"The flovver of fame Containing the bright renowne, & moste fortunate raigne of King Henry the viii. Wherein is mentioned of matters, by the rest of our cronographers ouerpassed. Compyled by Vlpian Fulwell. Hereunto is annexed (by the aucthor) a short treatice of iii. noble and vertuous queenes. And a discourse of the worthie seruice that was done at Hadington in Scotlande, the seconde yere of the raigne of king Edward the sixt.","Henry -- VIII, -- King of England, 1491-1547 -- Poetry -- Early works to 1800.; Great Britain -- History -- Henry VII, 1485-1509 -- Poetry -- Early works to 1800.; Great Britain -- History -- Henry VIII, 1509-1547 -- Poetry -- Early works to 1800.; Haddington (Scotland) -- History -- Battle, 1549 -- Early works to 1800.",130,1575.  London,,,
A01362,29715564,28090,STC 11485.5; ESTC S3030,Free,"Fullwood, William, fl. 1562.; Jones, John.",1589,A spectacle fo[r] pe[r]iu[r]e[r]s 27. Die Nouemb. 1589. / [by] W. Fulwood.,Perjury -- England.; Broadsides -- London (England) -- 16th century.,2,London?,,,
A01363,99856982,22639,STC 11486; ESTC S121820,Free,"Fulwood, William.",1562,"A supplication to Eldertonne, for Leaches vnlewdnes desiring him to pardone, his manifest vnrudenes.","Elderton, William, d. 1592? -- Poetry -- Early works to 1800.",1, London,,,
A01364,99856434,21983,STC 11487; ESTC S121249,Free,"FumÃŒÂ©e, Martin, ca. 1540-ca. 1590.; Churche, Rooke.",1600,"The historie of the troubles of Hungarie containing the pitifull losse and ruine of that kingdome, and the warres happened there, in that time, betweene the Christians and Turkes. By Mart. FumÃŒÂ©e Lord of GenillÃŒÂ©, Knight of the Kings order. Newly translated out of French into English, by R.C. Gentleman.; Histoire des troubles de Hongrie. English",Hungary -- History -- 1526-1683 -- Early works to 1800.,400,London,,,
A01365,99841396,5977,STC 11488; ESTC S105670,Free,"Furio Ceriol, Fadrique, d. 1592.; Blundeville, Thomas, fl. 1561.",1570,"A very briefe and profitable treatise declaring hovve many counsells, and vvhat maner of counselers a prince that will gouerne well ought to haue The book speaketh. ...; Consejo i consejeros del principe. English. Abridgments",Education of princes -- Early works to 1800.; Government consultants -- Early works to 1800.,130, London,,,
A01366,99845469,10371,STC 11489; ESTC S109825,Free,"Fyloll, Jasper.",1537,"Agaynst the possessyons of the clergye Harkyn what great auctorytes shall nowe folowe, for proffe thereof.",Catholic Church -- Clergy -- England.; Catholic Church -- Controversial literature -- Early works to 1800.; Catholic Church -- Doctrines -- Early works to 1800.,34,London,,,
A01369,99841449,6034,STC 11491; ESTC S105723,Free,"C. G., Gent.",1600,The minte of deformities,,24, London,,,
A01371,99852901,18256,STC 11492; ESTC S117690,Free,"Gibbon, Charles, fl. 1589-1604.",1596,"A watch-vvorde for warre Not so new as necessary: published by reason of the disperced rumors amongst vs, and the suspected comming of the Spanyard against vs. Wherein we may learne how to prepare our selues to repell the enemie, and to behaue our selues all the tyme of that trouble. Compendious for the memorie, comfortable for the matter, profitable for the matter, profitable for the tyme.","Great Britain -- Foreign relations -- Spain -- Early works to 1800.; Great Britain -- History -- Elizabeth, 1558-1603 -- Early works to 1800.; Spain -- Foreign relations -- Great Britain -- Early works to 1800.",62,Cambridge,,,
A01373,99856987,22644,STC 11493; ESTC S121825,Free,"F. G., fl. 1570.",1570,"The end and confession of Iohn Felton who suffred in Paules Churcheyeard in London, the. viii. of August, for high treason. 1570.","Felton, John, d. 1570 -- Poetry -- Early works to 1800.",1, London,,,
A01375,99838541,2923,STC 11496; ESTC S102778,Free,"H. G., fl. 1618.; Goodyere, Henry, Sir, 1551 or 2-1629.",1618,"The mirrour of maiestie: or, The badges of honour conceitedly emblazoned with emblemes annexed, poetically vnfolded.","Heraldry -- Early works to 1800.; Emblem books, English.",74,London,,,
A01378,99845148,10033,STC 11499; ESTC S109501,Free,"Goodale, John, attributed name. aut; Gough, John, fl. 1528-1556, attributed name. aut",1532,"[Here begynneth a lytell treatyse called, the (myrrour or lokynge glasse of lyfe) for co[m]fortyng of the soule]",Consolation -- Early works to 1800.,104,London?,,,
A01379,99850821,16051,STC 115; ESTC S115603,Free,"Adams, Thomas, fl. 1612-1653.; Adams, Thomas, fl. 1612-1653. Barren tree. aut; Adams, Thomas, fl. 11612-1653. Temple. aut",1626,"Fiue sermons preached vpon sundry especiall occasions Viz. 1 The sinners mourning habit: in Whitehall, March 29. being the first Tuesday after the departure of King Iames into blessednesse. 2 A visitation sermon: in Christs Church, at the trienniall visitation of the right reuerend father in God the lord bishop of London. 3 The holy choice: in the chappell by Guildhall, at the solemne election of the right honorable the lord maior of London. 4 The barren tree: at Pauls-Crosse, Octob. 26. 5 The temple: at Pauls-Crosse. August 5. By Tho: Adams.","Sermons, English -- 17th century.",219,London,,,
A01383,99856056,21572,STC 11503; ESTC S120863,Free,"Greenham, Richard.",1584,"A godlie exhortation, and fruitfull admonition to vertuous parents and modest matrons Describing the holie vse, and blessed institution of that most honorable state of matrimonie, and the encrease of godlie and happy children, in training them vp in godly education, and houshold discipline. R.G.",Marriage -- Early works to 1800.,24, London,,,
A01387,99838544,2926,STC 11505; ESTC S102781,Free,"R. G., fl. 1571.; Grafton, Richard, d. 1572?, attributed name.; Burghley, William Cecil, Baron, 1520-1598, attributed name.",1571,Salutem in Christo,"Norfolk, Thomas Howard, -- Duke of, 1538-1572.",12,London,,,
A01389,99838546,2928,STC 11509; ESTC S102784,Free,"T. G., Esquire.; Gainsford, Thomas, d. 1624?",1625,"An answer to VVithers motto Without a frontispice. Wherein, Nec habeo, nec careo, nec curo, are neither approued, nor confuted: but modestly controuled, or qualified.","Wither, George, 1588-1667. -- Withers motto.",80,Oxford,,,
A01391,99852424,17747,STC 11511; ESTC S117209,Free,"T. G., fl. 1623.; Gainsford, Thomas, d. 1624?, attributed name.; Goad, Thomas, 1576-1638, attributed name.",1623,"The friers chronicle: or, The true legend of priests and monkes liues",Catholic Church -- Clergy -- Controversial literature.,72,London,,,
A01395,99838565,2947,STC 11517; ESTC S102803,Free,"Gainsford, Thomas, d. 1624?",1618,"The glory of England, or A true description of many excellent prerogatiues and remarkeable blessings, whereby she triumpheth ouer all the nations of the world vvith a iustifiable comparison betweene the eminent kingdomes of the earth, and herselfe: plainely manifesting the defects of them all in regard of her sufficiencie and fulnesse of happinesse. By T.G.",National characteristics -- Early works to 1800.; Great Britain -- Description and travel -- 1601-1700.,344,London,,,
A01401,23734578,2979,STC 11521.3; ESTC S102833,Free,"Gainsford, Thomas, d. 1624?",1616,The historie of Trebizond in foure bookes / by Tho. Gainsforde ...,,364, London,,,
A01402,99838566,2948,STC 11522; ESTC S102804,Free,"T. G., fl. 1616.; Gainsford, Thomas, d. 1624?; Della Casa, Giovanni, 1503-1556. Galateo.",1616,"The rich cabinet furnished with varietie of excellent discriptions, exquisite charracters, witty discourses, and delightfull histories, deuine and morrall. Together with inuectiues against many abuses of the time: digested alphabetically into common places. Wherevnto is annexed the epitome of good manners, exttracted from Mr. Iohn de la Casa, Arch-bishop of Beneuenta.",Aphorisms and apothegms.,364,London,,,
A01403,99838596,2980,STC 11523; ESTC S102834,Free,"Gainsford, Thomas, d. 1624?",1616,"The secretaries studie containing new familiar epistles: or directions, for the formall, orderly, and iudicious inditing of letters. ... By Thomas Gainsford, Esq.",Letter writing -- Early works to 1800.,142,London,,,
A01404,99856264,21793,STC 11524; ESTC S121075,Free,"Gainsford, Thomas, d. 1624?",1619,"The true exemplary, and remarkable history of the Earle of Tirone vvherein the manner of his first presumption, affrighting both England and Ireland with his owne and the King of Spaines forces, and the misery of his ensuing deiection, downefall, and vtter banishment is truely related: not from the report of others, or collection of authors, but by him who was an eye witnesse of his fearefull wretchednes, and finall extirpation. Written by T.G. Esquire.","Tyrone, Hugh O'Neill, -- Earl of, 1540?-1616.; Tyrone's Rebellion, 1597-1603 -- Early works to 1800.",60,London,,,
A01405,99838601,2985,STC 11525; ESTC S102839,Free,"Gainsford, Thomas, d. 1624?",1618,"The true and vvonderfull history of Perkin VVarbeck, proclaiming himselfe Richard the fourth","Warbeck, Perkin, 1474-1499.",124,London,,,
A01406,99841395,5976,STC 11526; ESTC S105669,Free,"Gainsford, Thomas, d. 1624?; Henry VII, King of England, 1457-1509.",1610,"The vision and discourse of Henry the seuenth Concerning the vnitie of Great Brittaine. Diuided into foure chapters. 1. Containing an introduction. 2. Inducements to vnitie. 3. The policy, deceit, and mischieuous spite of the vnderminers hereof. 4. The danger of diuision. Related by T.G.",Great Britain -- Religion -- 17th century -- Controversial literature.,72, London,,,
A01407,99841400,5981,STC 11527; ESTC S105674,Free,"Gale, Dunstan.",1617,Pyramus and Thisbe,,26,London,,,
A01425,99838569,2951,STC 11542; ESTC S102807,Free,Gallobelgicus.,1630,"VVine, beere, ale, and tobacco. Contending for superiority A dialogue.; Wine, beere, ale, and tobacco",Wine -- Early works to 1800.; Beer -- Early works to 1800.; Ale -- Early works to 1800.; Tobacco -- Early works to 1800.; Smoking -- Great Britain -- Early works to 1800.,28,  London,,,
A01426,99841401,5982,STC 11543; ESTC S105675,Free,"GalvÃŒÂ£o, AntÃŒ_nio, d. 1557.; Hakluyt, Richard, 1552?-1616.",1601,"The discoueries of the world from their first originall vnto the yeere of our Lord 1555. Briefly written in the Portugall tongue by Antonie Galuano, gouernour of Ternate, the chiefe island of the Malucos: corrected, quoted, and now published in English by Richard Hakluyt, sometimes student of Christ church in Oxford; Tratato. Que compÃŒÂ«s o nobre & notavel capitÃŒÂ£o Antonio GalvÃŒÂ£o, dos diversos & desvayrados caminhos, por onde nos tempos passados a pimenta & especearia veyo da India ÃŒÃs nossas partes. English","Discoveries in geography -- Early works to 1800.; America -- Early accounts to 1600.; America -- Discovery and exploration, Spanish -- Early works to 1800.",110,Londini,,,
A01428,99849053,14184,STC 11545; ESTC S113824,Free,"Gamage, William.",1621,Linsi-woolsie. Or Two centuries of epigrammes. Written by William Gamage Batchelour in the Artes,"Epigrams, English -- Early works to 1800.",94,London,,,
A01429,29900252,28108,STC 11548.5; ESTC S3048,Free,,1604,Novum et solenne decretum ÃŒÃŠ Synodo Gapensis apud Delphinates proclamatum & publicÃŒ_ confessioni ecclesiarum Gallicarum ascriptum,Synod of Gap.; Councils and synods.; Broadsides -- London (England) -- 17th century.,1,S.l.,,,
A01430,29900394,28122,STC 11548.7; ESTC S3062,Free,Synod of Gap.,1607,"Solenne decretum a nationali ecclesiarum Gallicarum Synodo (celebrata Gapinci apud Delphinates) proclamatum & publicÃŒ_ confessioni earumdem adscriptum A solemn decree of the nationall synod of Gap, in the province of Delphine, in France, publikely proclaimed, and ascribed to the publique confession of the Church.",Synod of Gap.; Councils and synods.; Broadsides -- London (England) -- 17th century.,1,Londini,,,
A01433,24135992,27231,STC 11550.4; ESTC S4312,Free,"GarcÃŒ_a, Carlos, doctor.; W. M. (William Melvin)",1638,"The sonne of the rogue, or, The politick theefe with the antiquitie of theeves : a worke no lesse curious then delectable / first written in Spanish by Don Garcia ; afterwards translated into Dutch, and then into French by S.D. ; now Englished by W.M.; De sordenada codicia de los bienes agenos. English",Thieves -- Fiction.; Rogues and vagabonds -- Fiction.,282,London,,,
A01436,99854915,20373,STC 11553; ESTC S119708,Free,"Garcie, Pierre, called Ferrande, ca. 1435-ca. 1520.; Copland, Robert, fl. 1508-1547.",1560,"The rutter of the see, with the hauons, rodes, soundynges, kennynges wyndes flodes and ebbes, daungers and coostes of dyuers regyons with the lawes of the yele of Auleton, and the iudgementes of the see. With a rutter of the northe added to the same.; Routier de la mer. English",Maritime law -- France.; Navigation -- Early works to 1800.,88,London,,,
A01443,99850122,15306,STC 11564.5; ESTC S114900,Free,"Gardiner, Edmund.",1611,"Phisicall and approved medicines, aswell in meere simples, as compound obseruations With a true and direct iudgement of the seuerall complexions of men, & how to minister both phisicke and medicine, to euery seuerall complexion. With the making of many excellent vnguents, and oyles, as also their applications, both for gargarismes & inflamations of the face, and other diseases incident to the body of man, aswell chiurugicall as phisicall. With the true vse of taking that excellent hearbe tabacco, aswell in the pipe by sume, as also in phisicke, medicine and chirurgerie.; Triall of tabacco",Tobacco -- Early works to 1800.; Tobacco -- Therapeutic use -- Early works to 1800.,130,London,,,
A01444,99841419,6000,STC 11564; ESTC S105693,Free,"Gardiner, Edmund.",1610,"The triall of tabacco Wherein, his worth is most worthily expressed: as, in the name, nature, and qualitie of the sayd hearb; his speciall vse in all physicke, with the true and right vse of taking it, aswell for the seasons, and times, as also the complexions, dispositions, and constitutions, of such bodies, & persons, as are fittest: and to whom it is most profitable to take it. By E.G. Gent. and practicioner in physicke.",Tobacco -- Early works to 1800.; Tobacco -- Therapeutic use -- Early works to 1800.,124, London,,,
A01446,99836343,608,STC 1157; ESTC S100504,Free,"Bacon, Francis, 1561-1626.; Bacon, Francis, 1561-1626. Instauratio magna.",1638,"The historie of life and death With observations naturall and experimentall for the prolonging of life. Written by the Right Honorable Francis Lord Verulam, Viscount S. Alban.; Historia vitae et mortis. English",Life (Biology) -- Early works to 1800.; Longevity -- Early works to 1800.; Death (Biology) -- Early works to 1800.,335,London,,,
A01448,99850124,15309,STC 11571; ESTC S114902,Free,"Gardiner, Richard, of Shrewsbury.",1603,"Profitable insructions [sic] for the manuring, sowing, and planting of kitchin gardens Very profitable for the common wealth and greatly for the helpe and comfort of poore people. Gathered by Richard Gardiner of Shrewsberie.",Gardening -- Early works to 1800.,34, London,,,
A01451,99838582,2966,STC 11576; ESTC S102820,Free,"Gardiner, Samuel, b. 1563 or 4.",1606,"Doomes-Day booke: or, An alarum for atheistes, a vvatchword for vvorldlinges, a caueat for Christians. By Samuel Gardnier [sic] Doctor of Diuinitie. The contentes the following page sheweth",Judgment Day -- Early works to 1800.,118,London,,,
A01454,99836345,610,STC 1158; ESTC S100506,Free,"Bacon, Francis, 1561-1626.; Bacon, Francis, 1561-1626. Instauratio magna.; Rawley, William, 1588?-1667.",1638,"Historie naturall and experimentall, of life and death. Or of the prolongation of life. Written in Latine by the Right Honorable Francis Lo. Verulam, Vis-count St. Alban; Historia vitae et mortis. English",Life (Biology) -- Early works to 1800.; Longevity -- Early works to 1800.; Death (Biology) -- Early works to 1800.,463,London,,,
A01457,99838585,2969,STC 11583; ESTC S102823,Free,"Gardiner, Stephen, 1483?-1555.; Hales, James, Sir, d. 1554.; Bale, John, 1495-1563.",1553,The communication betwene my Lord Chauncelor and iudge Hales being among other iudges to take his oth in VVestminster hall. Anno. M.D.Liii. Vi. of October.,"Hales, James, -- Sir, d. 1554.",8,London?,,,
A01461,99838630,3015,STC 11587; ESTC S102868,Free,"Gardiner, Stephen, 1483?-1555.; Bonner, Edmund, 1500?-1569.; Bale, John, 1495-1563.; Wood, Michael, fl. 1553.; Turner, William, d. 1568.",1553,"De vera obedientia An oration made in Latine, by the right Reuere[n]de father in God Stepha[n] bishop of Wi[n]chestre, now Lorde Chau[n]celour of Englande. With the preface of Edmonde Bonner ... touching true obedience, printed at Ha[m]burgh in Latine, in officina Fra[n]cisci Rhodi mense Ianuario, 1536. And now translated in to Englishe, and printed eftsones, in Rome, before ye castle of. S. Angel, at the signe of. S. Peter. In nouembre, anno do. M.D.Liij.; De vera obedientia. English","Henry -- VIII, -- King of England, 1491-1547.; Church of England -- Early works to 1800.; Church and state -- Great Britain -- Early works to 1800.",122,Rome i.e. Wesel?,,,
A01463,99838618,3003,STC 11589; ESTC S102856,Free,"Gardiner, Stephen, 1483?-1555.",1546,A declaration of suche true articles as George Ioye hath gone about to confute as false,"Joye, George, d. 1553. -- George Joye confuteth, Winchesters false articles.; Church of England -- Apologetic works.",363, London,,,
A01464,99838611,2996,STC 11591.3; ESTC S102849,Free,"Gardiner, Stephen, 1483?-1555.",1546,"A detection of the Deuils sophistrie wherwith he robbeth the vnlearned people, of the true byleef, in the most blessed sacrament of the aulter.",Lord's Supper -- Early works to 1800.,306,  London,,,
A01466,24137498,2975,STC 11592; ESTC S102829,Free,"Gardiner, Stephen, 1483?-1555.",1551,"An explicatio[n] and assertion of the true Catholique fayth, touchyng the moost blessed sacrament of the aulter with confutacion of a booke written agaynst the same / made by Steuen Byshop of Wynchester ; and exhibited by his owne hande for his defence to the Kynges Maiesties commissioners at Lambeth.",Lord's Supper -- Early works to 1800.,308,Rouen,,,
A01467,29641393,28052,STC 11593.5; ESTC S2992,Free,"Gardiner, Stephen, 1483?-1555.; H. S.",1548,Theyr dedes in effecte my lyfe wolde haue Stephen Wynton. Your dedes in effecte that made your lyfe braue / H.S.,"Gardiner, Stephen, 1483?-1555.",2,London,,,
A01468,99838617,3002,STC 11593; ESTC S102855,Free,"Bale, John, 1495-1563.",1553,"An admonishion to the bishoppes of VVinchester, London and others &c.","Gardiner, Stephen, 1483?-1555.; Church of England -- Controversial literature -- Anglican authors.",18,Roane i.e. London?,,,
A01469,99846282,11240,STC 11594; ESTC S110810,Free,"Gardynare, Germen.",1534,"A letter of a yonge gentylman named mayster Germen Gardynare, wryten to a frend of his, wherin men may se the demeanour [and] heresy of Ioh[a]n Fryth late burned, [and] also the dyspycyo[n]s [and] reasonynge vpon the same, had betwene the same mayster Germen and hym.","Frith, John, 1503-1533 -- Early works to 1800.; Heretics, Christian -- Early works to 1800.",84,London,,,
A01470,99854033,19439,STC 11595; ESTC S118826,Free,"Breton, Nicholas, 1545?-1626?; Garden, Alexander, 1585?-1634?",1625,"Characters and essayes, by Alexander Garden; Characters upon essaies morall, and divine",,60,Aberdene,,,
A01471,99854034,19440,STC 11596; ESTC S118827,Free,"Garden, Alexander, 1585?-1634?",1609,"A garden of graue and godlie flovvres sonets, elegies, and epitaphs. Planted, polished, and perfected by Mr. Alexander Gardyne.",,98,Edinburgh,,,
A01472,99838621,3006,STC 11597; ESTC S102859,Free,"Garey, Samuel, 1582 or 3-1646.",1618,"Great Brittans little calendar: or, Triple diarie, in remembrance of three daies Diuided into three treatises. 1. BritanniÃŒ_ vota: or God saue the King: for the 24. day of March, the day of his Maiesties happy proclamation. 2. CÃŒ_saris hostes: or, the tragedy of traytors: for the fift of August: the day of the bloudy Gowries treason, and of his Highnes blessed preseruation. 3. Amphitheatrum scelerum: or, the transcendent of treason: the day of a most admirable deliuerance of our King ... from that most horrible and hellish proiect of the Gun-Powder Treason Nouemb. 5. Whereunto is annexed a short disswasiue from poperie. By Samuel Garey, preacher of Gods Word at Wynfarthing in Norff.","Gunpowder Plot, 1605 -- Early works to 1800.; Gowrie Conspiracy, 1600 -- Early works to 1800.",298,London,,,
A01476,99845480,10385,STC 11601; ESTC S109836,Free,"John, of Garland, ca. 1195-ca. 1272.",1496,"Multo[rum] vocabuloru[m] equiuocoru[m] intepretatio, Magistri Ioha[n]nis de Garlandia grammatico [et] latini cupido p[er]maxime necessaria, incipit",Latin language -- Semantics -- Early works to 1800.,152,London,,,
A01483,99842609,7276,STC 1161; ESTC S106900,Free,"Bacon, Francis, 1561-1626.",1629,"The historie of the reigne of King Henry the Seuenth VVritten by the Right Hon: Francis Lo: Virulam, Viscount S. Alban. Whereunto is now added a very vsefull and necessary table.","Henry -- VII, -- King of England, 1457-1509.; Great Britain -- History -- Henry VII, 1485-1509 -- Early works to 1800.",264,London,,,
A01500,99841424,6005,STC 11622; ESTC S105698,Free,"Garnier, Robert, 1544-1590.; Kyd, Thomas, 1558-1594.",1594,Cornelia; CornÃŒÂ©lie. English,,96, London,,,
A01502,99841427,6008,STC 11623; ESTC S105701,Free,"Garnier, Robert, 1544-1590.; Pembroke, Mary Sidney Herbert, Countess of, 1561-1621.",1595,The tragedie of Antonie. Doone into English by the Countesse of Pembroke; Marc Antoine. English,"Antonius, Marcus, 83?-30 B.C. -- Drama.",112, London,,,
A01504,99841429,6010,STC 11625; ESTC S105703,Free,"Garrard, William, d. 1587.; Hitchcock, Robert, Captain. aut; Garrard, Thomas.",1591,"The arte of vvarre Beeing the onely rare booke of myllitarie profession: drawne out of all our late and forraine seruices, by William Garrard Gentleman, who serued the King of Spayne in his warres fourteene yeeres, and died anno. Domini. 1587. Which may be called, the true steppes of warre, the perfect path of knowledge, and the playne plot of warlike exercised: as the reader heereof shall plainly see expressed. Corrected and finished by Captaine Hichcock. Anno. 1591.",Military art and science -- Early works to 1800.,384, London,,,
A01505,99853386,18769,STC 11626; ESTC S118177,Free,B. G. (Bernard Garter),1566,A dittie in the worthie praise of an high and mightie prince,"Norfolk, Thomas Howard, -- Duke of, 1473-1554 -- Early works to 1800.",1, London,,,
A01506,99841430,6011,STC 11627; ESTC S105704,Free,"B. G. (Bernard Garter); Wood, Robert, Sir, fl. 1578.; Googe, Barnabe, 1540-1594, attributed name.",1578,"The ioyfull receyuing of the Queenes most excellent Maiestie into hir Highnesse citie of Norvvich the things done in the time of hir abode there: and the dolor of the citie at hir departure. Wherein are set downe diuers orations in Latine, pronounced to hir Highnesse by Sir Robert Wood Knight, now Maior of the same citie, and others: and certaine also deliuered to hir Maiestie in vvriting: euery of the[m] turned into English.","Elizabeth -- I, -- Queen of England, 1533-1603 -- Poetry.; Norwich (England) -- History -- Early works to 1800.",55, London,,,
A01507,99838629,3014,STC 11629; ESTC S102867,Free,"B. G. (Bernard Garter); Tunstall, Cuthbert, 1474-1559. Letter written by Cutbert Tunstall late Byshop of Duresme, and Iohn Stokesley somtime Byshop of London.; Stokesley, John, 1475?-1539.; Googe, Barnabe, 1540-1594.",1579,"A newyeares gifte dedicated to the Popes Holinesse, and all Catholikes addicted to the Sea of Rome: preferred the first day of Ianuarie, in the yeare of our Lorde God, after the course and computation of the Romanistes, one thousand, fiue hundreth, seauentie and nine, by B.G. citizen of London: in recompence of diuers singular and inestimable reliques, of late sent by the said Popes Holinesse into England, the true figures and representations whereof, are heereafter in their places dilated.",Catholic Church -- Controversial literature.,113, London,,,
A01509,99856061,21579,STC 11632.5; ESTC S120868,Free,"Garter, Thomas.",1578,"The commody of the moste vertuous and godlye Susanna neuer before this tyme printed. Compiled by Thomas Garter. Eyght persons may easyly play it. 1. The Prologue and the Saylour for one. 2. Ioachim and Iudex for another, 3. Sathan and Uoluptas another, 4. Sensualitas alone. 5 Susanna alone. 6. Helchia, True Report, Ancilla, another, 7. Ill Reporte the uyce, and Cryer, another. 8. Helchias wyfe, Danyell, Seruus, Serua, for another.",,48, London,,,
A01512,99838670,3057,STC 11634; ESTC S102909,Free,"Garzoni, Tomaso, 1549?-1589.; Nash, Thomas, 1567-1601.; Blount, Edward, fl. 1588-1632.",1600,"The hospitall of incurable fooles: erected in English, as neer the first Italian modell and platforme, as the vnskilfull hand of an ignorant architect could deuise; Hospidale de' pazzi incurabili. English",Insanity -- Early works to 1800.,174,London,,,
A01513,99841417,5998,STC 11635; ESTC S105691,Free,"Gascoigne, George, 1542?-1577.",1573,"A hundreth sundrie flowres bounde vp in one small poesie Gathered partely (by translation) in the fyne outlandish gardins of Euripides, Ouid, Petrarke, Ariosto, and others: and partly by inuention, out of our owne fruitefull orchardes in Englande: yelding sundrie svveete sauours of tragical, comical, and morall discourses ...",,410, London,,,
A01516,99836346,611,STC 1164; ESTC S100507,Free,"Bacon, Francis, 1561-1626.",1605,"The tvvoo bookes of Francis Bacon. Of the proficience and aduancement of learning, diuine and humane To the King.; Of the proficience and advancement of learning",Science -- Methodology -- Early works to 1800.; Logic -- Early works to 1800.,339, London,,,
A01517,99841436,6018,STC 11640; ESTC S105710,Free,"Gascoigne, George, 1542?-1577.; Augustine, Saint, Bishop of Hippo.",1576,"A delicate diet, for daintiemouthde droonkardes Wherein the fowle abuse of common carowsing, and quaffing with hartie draughtes, is honestlie admonished. By George Gascoyne Esquier.",Temperance -- Early works to 1800.,50, London,,,
A01518,99838639,3025,STC 11641; ESTC S102877,Free,"Gascoigne, George, 1542?-1577.; Innocent III, Pope, 1160 or 61-1216. De contemptu mundi. English.",1576,"The droomme of Doomes day VVherin the frailties and miseries of mans lyfe, are lyuely portrayed, and learnedly set forth. Deuided, as appeareth in the page next following. Translated and collected by George Gascoigne Esquyer.","Spiritual life -- Modern period, 1500-.",291, London,,,
A01520,99841444,6028,STC 11643A; ESTC S105718,Free,"Gascoigne, George, 1542?-1577.",1575,"The glasse of gouernement A tragicall comedie so entituled, bycause therein are handled aswell the rewardes for vertues, as also the punishment for vices. Done by George Gascoigne Esquier. 1575. Seen and allowed, according to the order appointed in the Queenes maiesties iniunctions.; Glass of governement",,110, London,,,
A01521,99852352,17668,STC 11644; ESTC S117137,Free,"Gascoigne, George, 1542?-1577.",1576,"The spoyle of Antwerpe. Faithfully reported, by a true Englishman, who was present at the same. Nouem. 1576. Seene and allowed","Antwerp (Belgium) -- History -- Early works to 1800.; Netherlands -- History -- Wars of Independence, 1556-1648 -- Early works to 1800.",56,  London,,,
A01522,99838638,3024,STC 11645; ESTC S102876,Free,"Gascoigne, George, 1542?-1577.",1576,The steele glas A satyre co[m]piled by George Gascoigne Esquire. Togither with The complainte of Phylomene. An elegie deuised by the same author.,,124,London,,,
A01523,99838642,3028,STC 11647; ESTC S102880,Free,"Gataker, Thomas, 1574-1654.",1627,"Abrahams decease A meditation on Genesis 25.8. Deliuered at the funerall of that worthy seruant of Christ, Mr. Richard Stock, late pastor of All-Hallowes Bread-street: together with the testimonie then giuen vnto him. By Thomas Gataker B. of D. and pastor of Rotherhith.","Stock, Richard, 1569?-1626.; Sermons, English -- 17th century.; Funeral sermons.",76,London,,,
A01524,99841446,6030,STC 11648; ESTC S105720,Free,"Gataker, Thomas, 1574-1654.",1626,"An anniuersarie memoriall of Englands deliuery from the Spanish inuasion deliuered in a sermon on Psal. 48. 7,8. By Thomas Gataker B. of D. and pastor of Rotherhith.","Sermons, English -- 17th century.",38,London,,,
A01528,99838646,3032,STC 11653; ESTC S102884,Free,"Gataker, Thomas, 1574-1654.; Sibbes, Richard, 1577-1635.",1624,"Christian constancy crovvned by Christ A funerall sermon on Apocalyps 2.10. preached at the buriall of M. VVilliam Winter, citizen of London; together with the testimonie then giuen vnto him. By Thomas Gataker, B. of D. and pastor of Rotherhith.","Winter, William, -- citizen of London.; Sermons, English -- 17th century.; Funeral sermons.",38,London,,,
A01529,99838647,3033,STC 11654; ESTC S102885,Free,"Gataker, Thomas, 1574-1654.",1624,"The Christian mans care A sermon on Matth. 6. 33. Together with a short catechisme for the simpler sort. By Thomas Gataker, B. of D. and pastor of Rotherhith.","Sermons, English -- 17th century.; Catechisms, English.",80,London,,,
A01530,99838651,3037,STC 11655; ESTC S102889,Free,"Gataker, Thomas, 1574-1654.",1620,"Maskil le-David = Dauids instructer A sermon preached at the visitation of the Free-Schole at Tunbridge in Kent, by the wardens of the Worshipfull Companie of Skinners; by Thomas Gataker B. of D. and pastor of Rotherhith.","Sermons, English -- 17th century.",48,London,,,
